anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Junio,2024-06-17,15:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 4A SECCIÓN,Pedregal De San Nicolas 4a Seccion,19.2786044098342,-99.2429245399999,6,15,19.279,-99.243
2024,Junio,2024-06-12,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,RINCONADA SANTA TERESA,Parque Del Pedregal,19.2984125598337,-99.1963424799999,6,12,19.298,-99.196
2024,Mayo,2024-05-20,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MESA DE LOS HORNOS,Mesa De Los Hornos,19.2760883198338,-99.1849877499999,5,12,19.276,-99.185
2024,Julio,2024-07-06,18:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 2A SECCIÓN,Miguel Hidalgo 2a Seccion,19.2794947141368,-99.1982189599478,7,18,19.279,-99.198
2024,Junio,2024-06-30,02:07:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 3A SECCIÓN,Pedregal De San Nicolas 3a Seccion,19.2850043398341,-99.2328245899999,6,2,19.285,-99.233
2024,Julio,2024-07-04,13:46:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 3A SECCIÓN,Pedregal De San Nicolas 3a Seccion,19.2858666998343,-99.2310016999998,7,13,19.286,-99.231
2024,Julio,2024-07-05,21:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PRADO COAPA 2A SECCIÓN,Prado Coapa 2a Seccion,19.2961576998336,-99.1313616599999,7,21,19.296,-99.131
2024,Julio,2024-07-06,21:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 4A SECCIÓN,Pedregal De San Nicolas 4a Seccion,19.2767377998342,-99.2363017399999,7,21,19.277,-99.236
2024,Julio,2024-07-06,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,FUENTES DEL PEDREGAL,Ampliacion Fuentes Del Pedregal,19.2985059898341,-99.2117726099999,7,18,19.299,-99.212
2024,Julio,2024-07-05,08:43:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,A.M.S.A,San Bartolo El Chico,19.2859416998339,-99.1365835799999,7,8,19.286,-99.137
2024,Julio,2024-07-01,22:15:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,LOMAS ALTAS DE PADIERNA SUR,Lomas De Padierna Sur,19.2730766598342,-99.2264135399998,7,22,19.273,-99.226
2024,Mayo,2024-05-30,14:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,MIGUEL HIDALGO 4A SECCIÓN,Miguel Hidalgo 4a Seccion,19.273197319834,-99.2092117699999,5,14,19.273,-99.209
2024,Junio,2024-06-29,10:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,LA MAGDALENA PETLACALCO,Pueblo La Magdalena Petlacalco,19.2327375398344,-99.1796776299999,6,10,19.233,-99.18
2024,Junio,2024-06-27,10:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,CRUZ DEL FAROL,Miguel Hidalgo 4a Seccion,19.2692557498343,-99.2105937699999,6,10,19.269,-99.211
2024,Julio,2024-07-07,13:32:00,DELITO DE BAJO IMPACTO,"FISCALÍA DE INVESTIGACIÓN DE DELITOS COMETIDOS EN AGRAVIO DE NIÑAS, NIÑOS Y ADOLESCENTES",59,UI-2CD,RESIDENCIAL VILLA COAPA SUPER MANZANA 8,Residencial Villa Coapa,19.2947671900772,-99.1213896043482,7,13,19.295,-99.121
2024,Mayo,2024-05-04,10:37:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Fuentes De Tepepan,19.2675954198344,-99.14546505,5,10,19.268,-99.145
2024,Julio,2024-07-07,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,EX HACIENDA SAN JUAN DE DIOS,San Bartolo El Chico,19.2856989698336,-99.13232725,7,10,19.286,-99.132
2024,Julio,2024-07-07,12:20:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-2CD,HÉROES DE PADIERNA,Heroes De Padierna,19.2825308498336,-99.2229272399999,7,12,19.283,-99.223
