fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-02-01,Ordinario,1,Febrero,2022,95635,2
2022-02-01,S/Metro,1,Febrero,2022,56696,2
2022-02-01,Servicios Temporales,1,Febrero,2022,4295,2
2022-02-02,Atenea,2,Febrero,2022,16865,2
2022-02-02,Ecoatenea,2,Febrero,2022,3588,2
2022-02-02,Ecobús,2,Febrero,2022,32368,2
2022-02-02,Expdirecto,2,Febrero,2022,2635,2
2022-02-02,Expreso,2,Febrero,2022,121267,2
2022-02-02,Nochebús,2,Febrero,2022,657,2
2022-02-02,Ordinario,2,Febrero,2022,94534,2
2022-02-02,S/Metro,2,Febrero,2022,54280,2
2022-02-02,Servicios Temporales,2,Febrero,2022,5587,2
2022-02-03,Atenea,3,Febrero,2022,18197,2
2022-02-03,Ecoatenea,3,Febrero,2022,3466,2
2022-02-03,Ecobús,3,Febrero,2022,32993,2
2022-02-03,Expdirecto,3,Febrero,2022,2571,2
2022-02-03,Expreso,3,Febrero,2022,122251,2
2022-02-03,Nochebús,3,Febrero,2022,690,2
2022-02-03,Ordinario,3,Febrero,2022,92874,2
2022-02-03,S/Metro,3,Febrero,2022,55666,2
2022-02-03,Servicios Temporales,3,Febrero,2022,6254,2
2022-02-04,Atenea,4,Febrero,2022,16764,2
2022-02-04,Ecoatenea,4,Febrero,2022,1946,2
2022-02-04,Ecobús,4,Febrero,2022,35139,2
2022-02-04,Expdirecto,4,Febrero,2022,2485,2
2022-02-04,Expreso,4,Febrero,2022,121126,2
2022-02-04,Nochebús,4,Febrero,2022,971,2
2022-02-04,Ordinario,4,Febrero,2022,91205,2
2022-02-04,S/Metro,4,Febrero,2022,53860,2
2022-02-04,Servicios Temporales,4,Febrero,2022,5123,2
2022-02-05,Atenea,5,Febrero,2022,7167,2
2022-02-05,Ecoatenea,5,Febrero,2022,1263,2
2022-02-05,Ecobús,5,Febrero,2022,22109,2
2022-02-05,Expdirecto,5,Febrero,2022,626,2
2022-02-05,Expreso,5,Febrero,2022,75243,2
2022-02-05,Nochebús,5,Febrero,2022,1068,2
2022-02-05,Ordinario,5,Febrero,2022,63743,2
2022-02-05,S/Metro,5,Febrero,2022,42503,2
2022-02-05,Servicios Temporales,5,Febrero,2022,1922,2
2022-02-06,Atenea,6,Febrero,2022,3016,2
2022-02-06,Ecoatenea,6,Febrero,2022,1060,2
2022-02-06,Ecobús,6,Febrero,2022,14283,2
2022-02-06,Expreso,6,Febrero,2022,57972,2
2022-02-06,Nochebús,6,Febrero,2022,911,2
2022-02-06,Ordinario,6,Febrero,2022,46904,2
2022-02-06,S/Metro,6,Febrero,2022,29399,2
2022-02-06,Servicios Temporales,6,Febrero,2022,599,2
2022-02-07,Atenea,7,Febrero,2022,5100,2
2022-02-07,Ecoatenea,7,Febrero,2022,1466,2
2022-02-07,Ecobús,7,Febrero,2022,19313,2
2022-02-07,Expdirecto,7,Febrero,2022,548,2
2022-02-07,Expreso,7,Febrero,2022,74533,2
2022-02-07,Nochebús,7,Febrero,2022,616,2
2022-02-07,Ordinario,7,Febrero,2022,54346,2
2022-02-07,S/Metro,7,Febrero,2022,33067,2
2022-02-07,Servicios Temporales,7,Febrero,2022,754,2
2022-02-08,Atenea,8,Febrero,2022,14638,2
